unit,top_md_m,bottom_md_m
not interpreted,0.00,24.00
Kieseloolite Formation,24.00,56.00
Breda Formation,56.00,336.00
Veldhoven Formation,336.00,526.00
Rupel Clay Member,526.00,644.00
Vessem Member,644.00,666.00
Landen Clay Member,666.00,682.00
Gelinden Member,682.00,724.00
Heers Member,724.00,740.00
Swalmen Member,740.00,760.00
Houthem Formation,760.00,790.00
Maastricht Formation,790.00,818.00
Nederweert Sandstone Member,818.00,1094.00
Zechstein Upper Claystone Formation,1094.00,1110.00
Z3 (Leine) Formation,1110.00,1122.00
Z2 (Stassfurt) Formation,1122.00,1150.00
Epen Formation,1150.00,1596.00
Zeeland Formation,1596.00,2082.00
