unit,top_md_m,bottom_md_m
Veghel Formation,0,35
Sterksel Formation,35,70
Kedichem/Tegelen Formation,70,175
Kieseloolite Formation,175,340
Breda Formation (Vrijherenberg Member),340,695
Heksenberg Formation,695,850
Breda Formation (Kakert Member),850,1093
Veldhoven Clay Member,1093,1196
Voort Sand Member,1196,1397
Boom Clay Member,1397,1494
Berg Sand Member,1494,1513.5
Basal Dongen Sand Member,1513.5,1530.5
Landen Clay Member,1530.5,1607
Heers Sand Member,1607,1639
Houthem Formation,1639,1673
